"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"185","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Female",35,"Parent","Parttime","Homemaker","No formal education",4,"Yes, she worked for pay",7,0.38
"186","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Upper secondary",2,"No",6,0.38
"187","Manage $ Together","AR","Argentina","Married","Equal-earners","Male",39,"Nonparent","Fulltime","Other","Primary school",5,"Yes, she worked for pay",6,0.38
"188","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",37,"Parent","Fulltime","Other","Primary school",12,"Yes, she worked for pay",6,0.38
"189","Keep Some $ Separate","AR","Argentina","Cohab","Equal-earners","Female",39,"Parent","Student","Other","Upper secondary",6,"No",6,0.38
"190","Keep Some $ Separate","AR","Argentina","Married","Woman primary-earner","Female",33,"Parent","Not in labor force","Homemaker","Upper secondary",3,"No",6,0.38
"191","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",37,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"No",6,0.38
"192","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",52,"Parent","Not in labor force","Homemaker","Primary school",1,"No",6,0.38
"193","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",30,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.38
"194","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Male",32,"Parent","Fulltime","Homemaker","Upper secondary",5,"No",6,0.38
"195","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Primary school",8,"Yes, she worked for pay",7,0.38
"196","Manage $ Together","AR","Argentina","Cohab","Equal-earners","Female",36,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.38
"197","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",45,"Parent","Fulltime","Other","Lower secondary",3,"No",6,0.38
"198","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Homemaker","Upper secondary",3,"No",6,0.38
"199","Manage $ Together","AR","Argentina","Cohab","Equal-earners","Female",38,"Parent","Fulltime","Homemaker","Primary school",3,"Yes, she worked for pay",7,0.38
"200","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",21,"Parent","Fulltime","Homemaker","Primary school",6,"No",6,0.38
"201","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",19,"Parent","Not in labor force","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.38
"202","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",51,"Parent","Fulltime","Homemaker","Upper secondary",2,"No",6,0.38
"203","Keep All $ Separate","AR","Argentina","Cohab","Woman primary-earner","Female",36,"Parent","Not in labor force","Homemaker","Primary school",6,"Yes, she worked for pay",6,0.38
"204","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",32,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.38
"205","Manage $ Together","AR","Argentina","Cohab","Equal-earners","Male",35,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"206","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",38,"Parent","Fulltime","Other","Primary school",2,"No",7,0.38
"207","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",44,"Parent","Not in labor force","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.38
"208","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",41,"Parent","Fulltime","Other","Lower secondary",5,"No",6,0.38
"209","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Male",47,"Parent","Parttime","Other","Lower secondary",7,"Yes, she worked for pay",6,0.38
"210","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",25,"Parent","Fulltime","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.38
"211","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",25,"Parent","Fulltime","Homemaker","Upper secondary",7,"No",6,0.38
"212","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",51,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",7,0.38
"213","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.38
"214","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Male",29,"Parent","Fulltime","Other","Lower secondary",5,"Yes, she worked for pay",6,0.38
"215","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Primary school",3,"No",6,0.38
"216","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",35,"Parent","Parttime","Homemaker","Lower level tertiary",6,"No",6,0.38
"217","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Female",37,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",7,0.38
"218","Manage $ Together","AR","Argentina","Married","Woman primary-earner","Male",47,"Parent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.38
"219","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Female",39,"Parent","Parttime","Homemaker","Upper secondary",6,"No",7,0.38
"220","One $ Manager","AR","Argentina","Married","Equal-earners","Male",45,"Nonparent","Parttime","Other","Upper secondary",7,"Yes, she worked for pay",7,0.38
"221","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",28,"Parent","Fulltime","Homemaker","Upper secondary",3,"No",5,0.38
"222","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",43,"Nonparent","Parttime","Other","Lower level tertiary",5,"No",5,0.38
"223","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",46,"Parent","Not in labor force","Homemaker","No formal education",2,"No",6,0.38
"224","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",21,"Parent","Not in labor force","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.38
"225","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",22,"Parent","Student","Other","Upper secondary",2,"Yes, she worked for pay",6,0.38
"226","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",49,"Nonparent","Fulltime","Homemaker","No formal education",2,"No",6,0.38
"227","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",34,"Nonparent","Fulltime","Other","Upper secondary",3,"No",6,0.38
"228","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",52,"Nonparent","Fulltime","Homemaker","Upper secondary",1,"No",6,0.38
"229","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",44,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",6,0.38
"230","Keep Some $ Separate","AR","Argentina","Married","Woman primary-earner","Female",52,"Nonparent","Not in labor force","Homemaker","Lower level tertiary",4,"No",5,0.38
"231","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",6,0.38
"232","One $ Manager","AU","Australia","Married","Man primary-earner","Female",40,"Parent","Student","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",7,0.115
"233","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",45,"Parent","Parttime","Homemaker","Lower level tertiary",6,"No",6,0.115
"234","Keep Some $ Separate","AU","Australia","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",5,0.115
"235","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",50,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",4,0.115
"236","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",42,"Parent","Not in labor force","Homemaker","Lower secondary",4,"Yes, she worked for pay",6,0.115
"237","One $ Manager","AU","Australia","Married","Equal-earners","Female",42,"Parent","Parttime","Homemaker","Upper level tertiary",2,"Yes, she worked for pay",6,0.115
"238","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",40,"Parent","Fulltime","Other","Lower level tertiary",4,"No",5,0.115
"239","Keep Some $ Separate","AU","Australia","Married","Man primary-earner","Female",43,"Parent","Parttime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",7,0.115
"240","Keep All $ Separate","AU","Australia","Cohab","Man primary-earner","Male",41,"Nonparent","Fulltime","Other","Lower level tertiary",6,"Yes, she worked for pay",5,0.115
"241","One $ Manager","AU","Australia","Married","Man primary-earner","Male",54,"Parent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",5,0.115
"242","Keep Some $ Separate","AU","Australia","Married","Equal-earners","Female",31,"Nonparent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",5,0.115
"243","Keep All $ Separate","AU","Australia","Married","Woman primary-earner","Female",46,"Parent","Fulltime","Other","Upper level tertiary",5,"No",5,0.115
"244","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",54,"Parent","Fulltime","Homemaker","Lower secondary",6,"Yes, she worked for pay",7,0.115
"245","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",54,"Parent","Parttime","Other","Upper secondary",0,"No",6,0.115
"246","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Lower secondary",1,"Yes, she worked for pay",6,0.115
"247","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",36,"Parent","Parttime","Homemaker","Upper level tertiary",3,"Yes, she worked for pay",6,0.115
"248","One $ Manager","AU","Australia","Cohab","Man primary-earner","Female",30,"Parent","Not in labor force","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.115
"249","Manage $ Together","AU","Australia","Married","Equal-earners","Male",28,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",5,0.115
"250","One $ Manager","AU","Australia","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Homemaker","Lower level tertiary",8,"Yes, she worked for pay",5,0.115
"251","Manage $ Together","AU","Australia","Married","Equal-earners","Female",36,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.115
"252","Keep All $ Separate","AU","Australia","Married","Man primary-earner","Female",36,"Parent","Parttime","Homemaker","Post secondary",0,"Yes, she worked for pay",3,0.115
"253","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",33,"Parent","Parttime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.115
"254","One $ Manager","AU","Australia","Married","Man primary-earner","Female",54,"Nonparent","Parttime","Homemaker","Upper level tertiary",2,"Yes, she worked for pay",5,0.115
"255","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.115
"256","Manage $ Together","AU","Australia","Cohab","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Post secondary",3,"Yes, she worked for pay",7,0.115
"257","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Post secondary",4,"Yes, she worked for pay",5,0.115
"258","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",40,"Parent","Fulltime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",7,0.115
"259","One $ Manager","AU","Australia","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.115
"260","Manage $ Together","AU","Australia","Cohab","Equal-earners","Male",30,"Nonparent","Fulltime","Other","Post secondary",5,"Yes, she worked for pay",5,0.115
"261","Keep All $ Separate","AU","Australia","Married","Man primary-earner","Male",52,"Parent","Fulltime","Other","Lower level tertiary",7,"No",6,0.115
"262","Manage $ Together","AU","Australia","Married","Equal-earners","Male",54,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.115
"263","Manage $ Together","AU","Australia","Married","Woman primary-earner","Male",50,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.115
"264","Manage $ Together","AU","Australia","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",5,0.115
"265","Manage $ Together","AU","Australia","Married","Woman primary-earner","Female",49,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",6,0.115
"266","Keep Some $ Separate","AU","Australia","Cohab","Man primary-earner","Female",22,"Parent","Not in labor force","Homemaker","Lower secondary",2,"Yes, she worked for pay",5,0.115
"267","Manage $ Together","AU","Australia","Cohab","Man primary-earner","Male",26,"Nonparent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",6,0.115
"268","Manage $ Together","AU","Australia","Married","Equal-earners","Female",39,"Nonparent","Fulltime","Other","Upper level tertiary",5,"No",7,0.115
"269","Keep All $ Separate","AU","Australia","Cohab","Woman primary-earner","Female",39,"Parent","Fulltime","Other","Lower level tertiary",4,"No",6,0.115
"270","One $ Manager","AU","Australia","Married","Man primary-earner","Female",46,"Nonparent","Fulltime","Other","Lower secondary",2,"Yes, she worked for pay",4,0.115
"271","Keep Some $ Separate","AU","Australia","Married","Man primary-earner","Male",48,"Parent","Fulltime","Homemaker","Lower level tertiary",5,"No",6,0.115
"272","Keep All $ Separate","AU","Australia","Cohab","Woman primary-earner","Male",49,"Parent","Fulltime","Homemaker","Upper level tertiary",8,"Yes, she worked for pay",6,0.115
"273","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",37,"Nonparent","Fulltime","Other","Post secondary",3,"Yes, she worked for pay",7,0.115
"274","One $ Manager","AU","Australia","Married","Man primary-earner","Female",50,"Nonparent","Fulltime","Other","Lower level tertiary",12,"No",7,0.115
"275","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",47,"Parent","Parttime","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",6,0.115
"276","One $ Manager","AU","Australia","Married","Man primary-earner","Female",39,"Nonparent","Fulltime","Other","Lower level tertiary",0,"No",5,0.115
"277","Manage $ Together","AU","Australia","Married","Equal-earners","Male",46,"Parent","Fulltime","Homemaker","Lower level tertiary",7,"No",7,0.115
"278","Manage $ Together","AU","Australia","Married","Man primary-earner","Female",40,"Parent","Parttime","Homemaker","Lower level tertiary",1,"No",5,0.115
